global_order	group	source_episode
0	task_45_0002	0
1	task_45_0002	1
2	task_45_0002	2
3	task_45_0002	3
4	task_45_0002	4
5	task_45_0002	5
6	task_45_0002	6
7	task_45_0002	7
8	task_45_0002	8
9	task_45_0002	9
10	task_45_0002	10
11	task_45_0002	11
12	task_45_0002	12
13	task_45_0002	13
14	task_45_0002	14
15	task_45_0002	15
16	task_45_0002	16
17	task_45_0002	17
18	task_45_0002	18
19	task_45_0002	19
20	task_45_0002	20
21	task_45_0002	21
22	task_45_0002	22
23	task_45_0002	23
24	task_45_0002	24
25	task_45_0002	25
26	task_45_0002	26
27	task_45_0002	27
28	task_45_0002	28
29	task_45_0002	29
30	task_45_0002	30
31	task_45_0002	31
32	task_45_0002	32
33	task_45_0002	33
34	task_45_0002	34
35	task_45_0002	35
36	task_45_0002	36
37	task_45_0002	37
38	task_45_0002	38
39	task_45_0002	39
40	task_45_0002	40
41	task_45_0002	41
42	task_45_0002	42
43	task_45_0002	43
44	task_45_0002	44
45	task_45_0002	45
46	task_45_0002	46
47	task_45_0002	47
48	task_45_0002	48
49	task_45_0002	49
50	task_45_0003	0
51	task_45_0003	1
52	task_45_0003	2
53	task_45_0003	3
54	task_45_0003	4
55	task_45_0003	5
56	task_45_0003	6
57	task_45_0003	7
58	task_45_0003	8
59	task_45_0003	9
60	task_45_0003	10
61	task_45_0003	11
62	task_45_0003	12
63	task_45_0003	13
64	task_45_0003	14
65	task_45_0003	15
66	task_45_0003	16
67	task_45_0003	17
68	task_45_0003	18
69	task_45_0003	19
70	task_45_0003	20
71	task_45_0003	21
72	task_45_0003	22
73	task_45_0003	23
74	task_45_0003	24
75	task_45_0003	25
76	task_45_0003	26
77	task_45_0003	27
78	task_45_0003	28
79	task_45_0003	29
80	task_45_0003	30
81	task_45_0003	31
82	task_45_0003	32
83	task_45_0003	33
84	task_45_0003	34
85	task_45_0003	35
86	task_45_0003	36
87	task_45_0003	37
88	task_45_0003	38
89	task_45_0003	39
90	task_45_0003	40
91	task_45_0003	41
92	task_45_0003	42
93	task_45_0003	43
94	task_45_0003	44
95	task_45_0003	45
96	task_45_0003	46
97	task_45_0003	47
98	task_45_0003	48
99	task_45_0003	49
